"Resource","Time In Resource","Latest Score","Highest Score","Lowest Score","Average Score","Points Possible","Attempts"
"1.2.4 Use the Windows Client Interface","19 minutes 23 seconds","13 (2/26/24, 9:05 PM)","13 (2/26/24, 9:05 PM)","13 (2/26/24, 9:05 PM)","13","13","1"
"1.2.7 Use the Windows Server Interface","47 minutes 35 seconds","6 (2/26/24, 10:20 PM)","6 (2/26/24, 10:20 PM)","6 (2/26/24, 10:20 PM)","6","6","1"
"1.2.10 Use the Azure Interface","12 minutes 15 seconds","2 (2/26/24, 10:32 PM)","2 (2/26/24, 10:32 PM)","2 (2/26/24, 10:32 PM)","2","2","1"
"1.2.11 Practice Questions","5 minutes 13 seconds","10 (2/26/24, 10:38 PM)","10 (2/26/24, 10:38 PM)","10 (2/26/24, 10:38 PM)","10","10","1"
"2.1.7 Practice Questions","2 minutes 31 seconds","10 (2/27/24, 12:21 AM)","10 (2/27/24, 12:21 AM)","10 (2/27/24, 12:21 AM)","10","10","1"
"2.2.5 Install and Configure the File Server Role","11 minutes 12 seconds","2 (7/29/24, 6:45 PM)","2 (2/27/24, 1:00 PM)","0 (6/7/24, 9:55 AM)","1.33","2","3"
"2.2.6 Practice Questions","8 minutes 41 seconds","10 (2/27/24, 1:12 PM)","10 (2/27/24, 1:12 PM)","8 (2/27/24, 1:08 PM)","9","10","2"
"2.3.5 Practice Questions","8 minutes 17 seconds","10 (2/27/24, 1:26 PM)","10 (2/27/24, 1:26 PM)","10 (2/27/24, 1:26 PM)","10","10","1"
"2.4.7 Practice Questions","16 minutes 2 seconds","10 (2/27/24, 1:42 PM)","10 (2/27/24, 1:42 PM)","10 (2/27/24, 1:42 PM)","10","10","1"
"2.5.4 Practice Questions","3 minutes 36 seconds","10 (2/27/24, 2:45 PM)","10 (2/27/24, 2:45 PM)","10 (2/27/24, 2:45 PM)","10","10","1"
"2.6.7 Practice Questions","3 minutes 45 seconds","10 (2/27/24, 2:49 PM)","10 (2/27/24, 2:49 PM)","10 (2/27/24, 2:49 PM)","10","10","1"
"2.7.3 Allow Remote Desktop Connections","1 minute 37 seconds","3 (2/27/24, 2:51 PM)","3 (2/27/24, 2:51 PM)","3 (2/27/24, 2:51 PM)","3","3","1"
"2.7.5 Practice Questions","1 minute 38 seconds","10 (2/27/24, 2:54 PM)","10 (2/27/24, 2:54 PM)","10 (2/27/24, 2:54 PM)","10","10","1"
"3.1.4 Practice Questions","3 hours 15 minutes 4 seconds","10 (2/27/24, 6:26 PM)","10 (2/27/24, 6:26 PM)","10 (2/27/24, 6:26 PM)","10","10","1"
"3.2.14 Practice Questions","3 minutes 22 seconds","10 (2/27/24, 6:31 PM)","10 (2/27/24, 6:31 PM)","10 (2/27/24, 6:31 PM)","10","10","1"
"4.1.11 Configure IP Addresses","28 minutes 4 seconds","3 (2/27/24, 7:10 PM)","3 (2/27/24, 7:10 PM)","3 (2/27/24, 7:10 PM)","3","3","1"
"4.1.12 Practice Questions","51 minutes 31 seconds","10 (2/27/24, 9:00 PM)","10 (2/27/24, 9:00 PM)","10 (2/27/24, 9:00 PM)","10","10","1"
"4.2.4 Explore IP Configuration","21 minutes 31 seconds","8 (6/8/24, 7:16 AM)","8 (6/8/24, 7:16 AM)","1 (6/7/24, 5:38 PM)","5.67","8","3"
"4.2.5 Troubleshoot IP Configuration 1","2 hours 0 minutes 23 seconds","0 (6/7/24, 6:01 PM)","8 (2/29/24, 8:20 PM)","0 (6/7/24, 6:01 PM)","2.67","8","3"
"4.2.6 Troubleshoot IP Configuration 2","31 minutes 1 second","7 (6/8/24, 7:21 AM)","7 (2/29/24, 8:47 PM)","1 (6/7/24, 6:05 PM)","5","7","3"
"4.2.7 Troubleshoot IP Configuration 3","9 minutes 21 seconds","7 (6/8/24, 7:27 AM)","7 (6/8/24, 7:27 AM)","1 (6/7/24, 6:11 PM)","5","7","3"
"4.2.8 Practice Questions","45 minutes 54 seconds","10 (2/29/24, 9:38 PM)","10 (2/29/24, 9:38 PM)","10 (2/29/24, 9:38 PM)","10","10","1"
"4.3.4 Explore Network Communications","10 minutes 6 seconds","1 (2/29/24, 9:48 PM)","1 (2/29/24, 9:48 PM)","1 (2/29/24, 9:48 PM)","1","1","1"
"4.3.5 Practice Questions","6 minutes 7 seconds","10 (2/29/24, 9:55 PM)","10 (2/29/24, 9:55 PM)","10 (2/29/24, 9:55 PM)","10","10","1"
"4.4.4 Configure a DHCP Server","3 minutes 8 seconds","3 (3/11/24, 5:42 PM)","3 (3/11/24, 5:42 PM)","3 (3/11/24, 5:42 PM)","3","3","1"
"4.4.5 Configure DHCP Options","6 minutes 51 seconds","3 (3/11/24, 5:50 PM)","3 (3/11/24, 5:50 PM)","3 (3/11/24, 5:50 PM)","3","3","1"
"4.4.6 Create DHCP Exclusions","2 minutes 41 seconds","1 (3/11/24, 5:53 PM)","1 (3/11/24, 5:53 PM)","1 (3/11/24, 5:53 PM)","1","1","1"
"4.4.7 Create DHCP Client Reservations","2 minutes 2 seconds","5 (3/11/24, 5:55 PM)","5 (3/11/24, 5:55 PM)","5 (3/11/24, 5:55 PM)","5","5","1"
"4.4.10 Practice Questions","17 minutes 41 seconds","10 (3/20/24, 10:24 AM)","10 (3/20/24, 10:24 AM)","9 (3/20/24, 10:00 AM)","9.5","10","2"
"4.5.4 Configure a DHCP Relay Agent","5 minutes 46 seconds","5 (3/11/24, 6:01 PM)","5 (3/11/24, 6:01 PM)","5 (3/11/24, 6:01 PM)","5","5","1"
"4.5.5 Add a DHCP Server on Another Subnet","2 minutes 5 seconds","5 (3/11/24, 6:04 PM)","5 (3/11/24, 6:04 PM)","5 (3/11/24, 6:04 PM)","5","5","1"
"4.5.6 Practice Questions","5 minutes","10 (3/11/24, 6:10 PM)","10 (3/11/24, 6:10 PM)","10 (3/11/24, 6:10 PM)","10","10","1"
"4.6.4 Configure DHCP Failover 1","13 minutes 45 seconds","1 (3/11/24, 6:29 PM)","1 (3/11/24, 6:29 PM)","0 (3/11/24, 6:16 PM)","0.5","1","2"
"4.6.5 Configure DHCP Failover 2","1 minute 50 seconds","1 (3/11/24, 6:31 PM)","1 (3/11/24, 6:31 PM)","1 (3/11/24, 6:31 PM)","1","1","1"
"4.6.7 Configure a Scope for an Additional Subnet","1 hour","2 (3/12/24, 11:14 AM)","2 (3/12/24, 11:14 AM)","2 (3/12/24, 11:14 AM)","2","2","1"
"4.6.8 Configure a Split Scope","1 hour 5 minutes 7 seconds","4 (3/12/24, 1:33 PM)","4 (3/12/24, 1:33 PM)","0 (3/12/24, 1:26 PM)","2","4","2"
"4.6.11 Practice Questions","4 minutes 43 seconds","10 (3/20/24, 10:30 AM)","10 (3/20/24, 10:30 AM)","10 (3/20/24, 10:30 AM)","10","10","1"
"4.7.5 Configure Alternate Addressing","1 minute 36 seconds","4 (3/12/24, 1:35 PM)","4 (3/12/24, 1:35 PM)","4 (3/12/24, 1:35 PM)","4","4","1"
"4.7.6 Troubleshoot DHCP 1","6 minutes 20 seconds","3 (3/12/24, 1:41 PM)","3 (3/12/24, 1:41 PM)","3 (3/12/24, 1:41 PM)","3","3","1"
"4.7.7 Troubleshoot DHCP 2","2 minutes 26 seconds","2 (3/12/24, 1:44 PM)","2 (3/12/24, 1:44 PM)","2 (3/12/24, 1:44 PM)","2","2","1"
"4.7.8 Practice Questions","6 minutes 34 seconds","10 (3/20/24, 10:46 AM)","10 (3/20/24, 10:46 AM)","9 (3/20/24, 10:44 AM)","9.5","10","2"
"4.8.8 Configure an IPv6 Address","5 minutes 7 seconds","4 (3/12/24, 1:50 PM)","4 (3/12/24, 1:50 PM)","0 (3/12/24, 1:46 PM)","2","4","3"
